natural,leisure,garmin:description,height,leaf_type,brand:wikidata,description,hoops,lit,surface,ref,mapillary,location,residential,fenced,denotation,species,species:en,level:ref,reservation,access,garden:type,operator:type,barrier,golf:course,golf:par,place,wikidata,wikimedia_commons,wikipedia,tourism,architect,construction,shop,is_in:city,is_in:village,operator:wikidata,operator:wikipedia,power,substation,voltage,golf,water,building,building:levels,mobile,industrial,construction:amenity,demolished:building,events_venue,was:leisure,addr:village,duplicate,self_service,mapillary:name,drive_through,addr:state,second_hand,planned:landuse,planned:residential,traffic_calming,construction:building,covered,swimming_pool,developer,length,congregation,admin_level,type,name:it,dispensing,healthcare,geometry
tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0344974 14.5549703)
,sports_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0077967 14.5600596)
,fitness_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0206416 14.5575096)
,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0231914 14.5318988)
,fitness_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0280844 14.5626489)
,pitch,sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0153014 14.5474198)
,fitness_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0151871 14.5574848)
tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0341303 14.5549655)
tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0314571 14.5469093)
,fitness_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (121.0102891 14.5463366)
